area_name,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen,calendar_year,cases_property_recovered,cases_property_stolen,cpa_cases_registered,cpa_cases_reported_for_dept._action,cpa_cases_sent_for_trials_chargesheeted,cpa_complaints_cases_declared_false_unsubstantiated,cpa_complaints_received_alleged,cpa_no_of_departmental_enquiries,cpa_no_of_judicial_enquiries,cpa_no_of_magisterial_enquiries,cpb_police_personnel_acquitted,cpb_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpb_police_personnel_convicted,cpb_police_personnel_sent_up_for_trial,cpb_police_personnel_trial_completed,cpc_police_personnel_cases_trial_completed,cpc_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_disciplinary_action_initiated,cpc_police_personnel_dismissal_removal_from_service,cpc_police_personnel_major_punishment_awarded,cpc_police_personnel_minor_punishment_awarded,df_auto_theft,df_complaints_against_police,df_property_stolen_and_recovered,df_serious_fraud,df_victims_of_rape,group_name,loss_of_property_10_25_crores,loss_of_property_1_10_crores,loss_of_property_25_50_crores,loss_of_property_50_100_crores,loss_of_property_above_100_crores,sub_group_name,value_of_property_recovered,value_of_property_stolen,victims_above_50_yrs,victims_between_1014_yrs,victims_between_1418_yrs,victims_between_1830_yrs,victims_between_3050_yrs,victims_of_rape_total,victims_upto_10_yrs
Andaman & Nicobar Islands,0,4,4,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Andhra Pradesh,136,1311,2725,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,21,27,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Assam,0,94,205,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Bihar,44,205,946,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Chandigarh,0,107,281,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,338,790,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,0,4,12,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Delhi,62,688,3185,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Goa,9,68,152,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Gujarat,401,1345,4830,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Haryana,34,882,1967,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Himachal Pradesh,7,31,47,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,1,81,460,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Jharkhand,10,38,211,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Karnataka,183,993,3087,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Kerala,47,300,1038,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Madhya Pradesh,0,1063,3756,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Maharashtra,653,1968,6244,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Manipur,0,5,57,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Meghalaya,0,5,22,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Mizoram,2,11,11,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Nagaland,0,15,53,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Odisha,22,222,778,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Puducherry,136,136,281,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Punjab,123,229,609,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Rajasthan,58,628,3273,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Sikkim,2,2,2,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Tamil Nadu,0,2523,3858,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Tripura,0,3,10,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Uttar Pradesh,15,727,4046,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Uttarakhand,0,60,236,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
West Bengal,14,461,1904,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,1,1,2,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Andhra Pradesh,12,1420,3025,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,19,49,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Assam,0,115,485,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Bihar,13,197,996,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Chandigarh,0,126,328,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,244,752,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,0,19,31,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Daman & Diu,0,16,32,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Delhi,111,665,3291,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Goa,1,32,138,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Gujarat,254,1325,5318,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Haryana,0,881,1920,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Himachal Pradesh,4,39,63,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,3,94,270,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Jharkhand,4,57,597,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Karnataka,190,1020,3376,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Kerala,35,373,1272,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Madhya Pradesh,66,1285,4225,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Maharashtra,172,2098,6777,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Manipur,0,9,98,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Meghalaya,0,6,31,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Mizoram,0,17,18,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Nagaland,0,12,89,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Odisha,32,307,784,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Puducherry,0,44,249,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Punjab,203,310,725,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Rajasthan,30,714,3696,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Tamil Nadu,44,2934,4319,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Tripura,0,63,71,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Uttar Pradesh,7,934,4126,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Uttarakhand,0,64,253,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
West Bengal,64,423,2704,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,0,2,3,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Andhra Pradesh,38,1636,3865,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,11,49,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Assam,0,58,497,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Bihar,16,243,1183,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Chandigarh,0,131,274,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,325,752,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,0,4,10,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Daman & Diu,5,8,26,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Delhi,257,586,3360,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Goa,2,39,124,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Gujarat,347,1770,6131,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Haryana,80,929,1989,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Himachal Pradesh,1,31,78,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,5,73,301,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Jharkhand,0,24,137,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Karnataka,93,1040,3597,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Kerala,1,440,1070,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Lakshadweep,1,1,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Madhya Pradesh,0,1266,4291,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Maharashtra,597,2116,7078,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Manipur,0,4,107,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Meghalaya,0,8,41,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Mizoram,0,29,31,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Nagaland,0,46,197,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Odisha,94,248,752,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Puducherry,63,63,284,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Punjab,206,327,818,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Rajasthan,37,820,4482,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Tamil Nadu,1107,3013,4317,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Tripura,0,6,52,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Uttar Pradesh,21,920,3376,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Uttarakhand,0,83,269,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
West Bengal,29,374,2049,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,0,8,8,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Andhra Pradesh,254,1705,3857,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,31,75,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
